"['Murat', 'Aksu', 'likes', 'to', 'eat', 'pizza', '.']",[ True]
"['Fatih', 'Eren', 'likes', 'to', 'eat', 'pizza', '.']",[ True]
"['Demet', 'Dikmen', 'likes', 'to', 'eat', 'pizza', '.']",[ True]
"['Zeynep', 'Koç', 'likes', 'to', 'eat', 'pizza', '.']",[ True]
"['Hakkı', 'Keskin', 'likes', 'to', 'eat', 'pizza', '.']",[ True]
"['İlhan', 'Akgün', 'likes', 'to', 'eat', 'pizza', '.']",[ True]
"['Ece', 'Kılıç', 'likes', 'to', 'eat', 'pizza', '.']",[ True]
"['Volkan', 'İnci', 'likes', 'to', 'eat', 'pizza', '.']",[ True]
"['Feridun', 'Doğan', 'likes', 'to', 'eat', 'pizza', '.']",[ True]
"['Gülşah', 'Ergün', 'likes', 'to', 'eat', 'pizza', '.']",[ True]
"['Hilal', 'Çoban', 'likes', 'to', 'eat', 'pizza', '.']",[False]
"['Hilal', 'Dikmen', 'likes', 'to', 'eat', 'pizza', '.']",[False]
"['Alper', 'Karadağ', 'likes', 'to', 'eat', 'pizza', '.']",[ True]
"['Arif', 'Eryılmaz', 'likes', 'to', 'eat', 'pizza', '.']",[ True]
"['Arif', 'Aksoy', 'likes', 'to', 'eat', 'pizza', '.']",[ True]
"['Recep', 'Acar', 'likes', 'to', 'eat', 'pizza', '.']",[ True]
"['Hande', 'Sezer', 'likes', 'to', 'eat', 'pizza', '.']",[ True]
"['Mahmut', 'Çelik', 'likes', 'to', 'eat', 'pizza', '.']",[ True]
"['Ayşegül', 'Aras', 'likes', 'to', 'eat', 'pizza', '.']",[ True]
"['Lale', 'Çelik', 'likes', 'to', 'eat', 'pizza', '.']",[ True]
"['Selma', 'Ergün', 'likes', 'to', 'eat', 'pizza', '.']",[ True]
"['Souleymane', 'Çam', 'likes', 'to', 'eat', 'pizza', '.']",[ True]
"['Didem', 'Çiçek', 'likes', 'to', 'eat', 'pizza', '.']",[ True]
"['Yasemin', 'Duran', 'likes', 'to', 'eat', 'pizza', '.']",[ True]
"['Hasan', 'Atalay', 'likes', 'to', 'eat', 'pizza', '.']",[False]
"['Can', 'Aslan', 'likes', 'to', 'eat', 'pizza', '.']",[False]
"['Ekrem', 'Öztürk', 'likes', 'to', 'eat', 'pizza', '.']",[ True]
"['Okan', 'Tuncer', 'likes', 'to', 'eat', 'pizza', '.']",[ True]
"['Damla', 'Ünlü', 'likes', 'to', 'eat', 'pizza', '.']",[ True]
"['Levent', 'Aras', 'likes', 'to', 'eat', 'pizza', '.']",[ True]
"['Bekir', 'Gedik', 'likes', 'to', 'eat', 'pizza', '.']",[ True]
"['İrem', 'Yıldız', 'likes', 'to', 'eat', 'pizza', '.']",[ True]
"['Haluk', 'Kurt', 'likes', 'to', 'eat', 'pizza', '.']",[ True]
"['Neriman', 'Aktaş', 'likes', 'to', 'eat', 'pizza', '.']",[ True]
"['Ozan', 'Gürsoy', 'likes', 'to', 'eat', 'pizza', '.']",[ True]
"['Neslihan', 'Gürsoy', 'likes', 'to', 'eat', 'pizza', '.']",[ True]
"['Erkan', 'Erten', 'likes', 'to', 'eat', 'pizza', '.']",[ True]
